Pair,Stock1,Stock2,Price_Corr,Coint_pvalue,Coint_score
3665.TW-4958.TW,3665.TW,4958.TW,0.8660754427101985,0.013389819253514533,-3.8040123407357105
3006.TW-8046.TW,3006.TW,8046.TW,0.860028336934234,0.014131310405626724,-3.786421881445669
2801.TW-2404.TW,2801.TW,2404.TW,0.9408081641161637,0.014502705144716606,-3.777915867673427
8299.TWO-8358.TWO,8299.TWO,8358.TWO,0.8635533384301591,0.014577092930434852,-3.7762353233114814
6257.TW-6274.TWO,6257.TW,6274.TWO,0.9634354681818309,0.01461087459053981,-3.775474636486939
1504.TW-3231.TW,1504.TW,3231.TW,0.8539992488175697,0.014703742418140289,-3.773391430012748
3105.TWO-8046.TW,3105.TWO,8046.TW,0.8603039447044678,0.014743228382916772,-3.772509197529045
2801.TW-3044.TW,2801.TW,3044.TW,0.9489699147282621,0.014755175976325386,-3.7722426638666544
3264.TWO-5274.TWO,3264.TWO,5274.TWO,0.9298680336965243,0.014823269834584915,-3.7707272113058927
6669.TW-00893.TW,6669.TW,00893.TW,0.9515342445740776,0.014845249112385037,-3.770239365262838
8299.TWO-6274.TWO,8299.TWO,6274.TWO,0.9132984073566253,0.015466245326643991,-3.756712333556009
3680.TWO-1477.TW,3680.TWO,1477.TW,0.8608751653798834,0.015484062028916843,-3.75633134433495
6182.TWO-1314.TW,6182.TWO,1314.TW,0.855286494352071,0.015682562431731325,-3.752112541224772
5274.TWO-6274.TWO,5274.TWO,6274.TWO,0.9504120958498897,0.01582434942323273,-3.749127762377791
3036.TW-6257.TW,3036.TW,6257.TW,0.8876269692943595,0.016041969089388014,-3.7445920587559915
3376.TW-3293.TWO,3376.TW,3293.TWO,0.9152319045619671,0.01620589343425579,-3.7412110726783854
2886.TW-4904.TW,2886.TW,4904.TW,0.9264560840462721,0.01663908217327302,-3.732418928551992
2002.TW-1314.TW,2002.TW,1314.TW,0.8700140528903324,0.01692776018640574,-3.726670740627411
6290.TWO-3665.TW,6290.TWO,3665.TW,0.9506538959470424,0.017109565868065172,-3.7230945839476264
2474.TW-3005.TW,2474.TW,3005.TW,0.8839831724655297,0.01713103793410048,-3.7226744265584957
2308.TW-3665.TW,2308.TW,3665.TW,0.9527588827040954,0.01724210197188897,-3.720508508614918
2454.TW-2891.TW,2454.TW,2891.TW,0.9497141683126648,0.017243619713832623,-3.720478995134036
1477.TW-2356.TW,1477.TW,2356.TW,0.8851102734939389,0.01731188677694602,-3.719153846075203
2002.TW-1312.TW,2002.TW,1312.TW,0.9220117132901946,0.01733998031640203,-3.718609845017581
3552.TWO-6505.TW,3552.TWO,6505.TW,0.859753377288138,0.01751863333133651,-3.7151683816595016
6121.TWO-2324.TW,6121.TWO,2324.TW,0.8940365932041752,0.01783286339197482,-3.709189134995211
6121.TWO-2376.TW,6121.TWO,2376.TW,0.8933197106023767,0.01783520172366767,-3.709144987511383
6414.TW-9939.TW,6414.TW,9939.TW,0.9262818225067092,0.017843971274903708,-3.7089794643159304
2886.TW-3005.TW,2886.TW,3005.TW,0.9187592414977749,0.017857972610662444,-3.708715339949013
3005.TW-3661.TW,3005.TW,3661.TW,0.9199802071630793,0.017912137834636906,-3.7076952586008454
1909.TW-1312.TW,1909.TW,1312.TW,0.9483321190361407,0.018002147473176126,-3.7060060818058784
00687B.TWO-6547.TWO,00687B.TWO,6547.TWO,0.8614970452736438,0.01800811825479268,-3.7058942919495848
3211.TWO-3665.TW,3211.TWO,3665.TW,0.9346681579198057,0.018190952920707264,-3.702486711252863
6669.TW-2301.TW,6669.TW,2301.TW,0.9241084630730246,0.01829290002972595,-3.7005996581644744
8039.TW-4958.TW,8039.TW,4958.TW,0.8640656854579585,0.018373779039312414,-3.6991091076468146
1314.TW-1312.TW,1314.TW,1312.TW,0.9276729864953844,0.018381685744671243,-3.698963699850146
3376.TW-00757.TW,3376.TW,00757.TW,0.9298621904276548,0.018608662646195064,-3.6948126256708695
6290.TWO-6257.TW,6290.TWO,6257.TW,0.9370301960959487,0.018659351893052133,-3.693891640497088
00679B.TWO-1909.TW,00679B.TWO,1909.TW,0.8674400469056948,0.018763759079015906,-3.692001507143185
3211.TWO-2059.TW,3211.TWO,2059.TW,0.950348472724679,0.018999164223897837,-3.687773325266404
6472.TW-6188.TWO,6472.TW,6188.TWO,0.9251381433634182,0.019031461524792605,-3.687196796113521
2474.TW-1319.TW,2474.TW,1319.TW,0.9299122405483317,0.019096618906909658,-3.6860362860755593
3264.TWO-6274.TWO,3264.TWO,6274.TWO,0.9270786272876924,0.01909824228827719,-3.686007416376578
1504.TW-3044.TW,1504.TW,3044.TW,0.8890372808938894,0.019446448218399776,-3.67986395496298
2834.TW-4904.TW,2834.TW,4904.TW,0.9401093287029584,0.019772932868663783,-3.6741902450064825
2801.TW-3706.TW,2801.TW,3706.TW,0.9422999680901953,0.019796947694019365,-3.6737761421240682
